,ref_index,ref_mz,ref_z,ref_MS1,ref_minMS1,ref_maxMS1,ref_RT,ref_minRT,ref_maxRT,ref_intensity,ref_SNratio,ref_PercentageTF,comp_index,comp_mz,comp_z,comp_MS1,comp_minMS1,comp_maxMS1,comp_RT,comp_minRT,comp_maxRT,comp_intensity,comp_SNratio,comp_PercentageTF
560,1437.0,312.95248260000005,0.0,9873.0,5001.0,9999.0,1123.33,596.7040000000001,1136.82,93167.0,22.9,47.5111,1353.0,312.9524993929592,0.0,9999.0,5001.0,9999.0,1134.9384661608158,596.8330000000001,1137.35,119693.0,23.3,47.5242
561,57.0,123.90052040000002,0.0,5022.0,5001.0,9999.0,598.89,596.7040000000001,1136.82,93111.0,14.4,47.5111,139.0,123.9005203670714,0.0,5274.0,5001.0,9873.0,605.426045983508,596.8330000000001,1123.95,44063.0,11.9,46.3461
562,287.0,337.0044813,0.0,5673.0,5085.0,6744.0,668.85,605.6669999999999,784.285,92833.0,16.6,15.7121,371.0,337.00447671226664,0.0,6030.0,5946.0,6366.0,675.6286275091487,698.6439999999999,744.0239999999999,55141.0,16.0,3.99
563,1143.0,226.0685088,0.0,8844.0,8760.0,8991.0,1011.63,1002.57,1027.62,92776.0,30.4,2.2035,966.0,226.06851357138189,0.0,8802.0,8760.0,9033.0,1007.7930705076641,1003.34,1032.94,85800.0,31.6,2.6025
564,681.0,440.19000669999997,0.0,7122.0,7101.0,7290.0,825.07,822.845,843.1610000000001,92662.0,15.6,1.7871,636.0,440.1900675601708,0.0,7122.0,7059.0,7227.0,825.4813224378952,819.078,837.322,92676.0,20.2,1.6041
565,360.0,324.988861,0.0,5799.0,5673.0,6870.0,682.33,668.8480000000001,797.773,92497.0,19.1,11.3408,395.0,324.98902542533006,0.0,6219.0,5925.0,6702.0,700.6246462327233,696.39,780.4110000000001,68993.0,22.3,7.3874
566,524.0,185.04422309999998,0.0,6660.0,6471.0,8088.0,775.15,754.801,929.507,92182.0,25.2,15.368,534.0,185.04420064632927,0.0,6849.0,6366.0,7752.0,784.1638762569083,744.0239999999999,894.0010000000001,45651.0,14.8,13.1865
567,175.0,172.08034080000002,0.0,5463.0,5421.0,5610.0,646.25,641.748,662.0210000000001,91830.0,27.1,1.7833,215.0,172.08042825401589,0.0,5631.0,5547.0,5757.0,640.4691106460219,655.602,678.216,102768.0,25.1,1.9883
568,500.0,277.128382,0.0,6534.0,6471.0,6597.0,761.69,754.801,768.408,91082.0,25.2,1.1969,496.0,277.1282778197295,0.0,6702.0,6639.0,6786.0,766.4026715309767,773.6,789.485,40385.0,12.0,1.3967
569,738.0,312.09585780000003,0.0,7164.0,7059.0,7395.0,829.63,818.275,854.5110000000001,90650.0,15.8,3.1875,633.0,312.0956710632621,0.0,7122.0,7017.0,7458.0,825.4813224378952,814.518,862.3489999999999,99307.0,21.7,4.2055
